Volcano Number,Volcano Name,Country,Volcanic Region,Volcanic Province,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Dominant Rock Type,Tectonic Setting
283816,Tanaba,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,,,34.907,138.852,1035,,Subduction zone / Continental crust (>25 km)
283817,Daruma,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,,,34.952,138.843,982,,Subduction zone / Continental crust (>25 km)
283818,Tenshi,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,,,34.924,138.968,608,,Subduction zone / Continental crust (>25 km)
283819,Usami,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,,,34.968,139.063,592,,Subduction zone / Continental crust (>25 km)
283820,Taga,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,,,35.078,139.031,798,,Subduction zone / Continental crust (>25 km)
283821,Yugawara,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,,,35.173,139.029,1004,,Subduction zone / Continental crust (>25 km)
283822,Ashitaka,Japan,Northwest Pacific Volcanic Regions,Izu Volcanic Arc,Composite,Stratovolcano,,,35.238,138.794,1504,,Subduction zone / Continental crust (>25 km)
283823,Kurofuji,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),,,35.8,138.513,1764,,Subduction zone / Continental crust (>25 km)
283824,Yatsugatake,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),,,35.968,138.373,2899,,Subduction zone / Continental crust (>25 km)
283825,Kirigamine,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Shield,Shield,,,36.1,138.2,1925,,Subduction zone / Continental crust (>25 km)
283826,Utsukushigahara,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Shield,Shield,,,36.223,138.111,2034,,Subduction zone / Continental crust (>25 km)
283827,Ueno,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Shield,Shield,,,35.59,137.505,606,,Subduction zone / Continental crust (>25 km)
283828,Yuga-mine,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Lava dome,,,35.802,137.284,1067,,Subduction zone / Continental crust (>25 km)
283829,Eboshi-Washigatake,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,,,35.937,136.974,1672,,Subduction zone / Continental crust (>25 km)
283830,Bishamondake,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,,,35.936,136.795,1386,,Subduction zone / Continental crust (>25 km)
283831,Dainichigatake,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,,,35.998,136.841,1709,,Subduction zone / Continental crust (>25 km)
283832,Ryohaku Maruyama,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,,,36.046,136.8,1786,,Subduction zone / Continental crust (>25 km)
283833,Gankyoji,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,,,36.054,136.743,1691,,Subduction zone / Continental crust (>25 km)
283834,Kyogatake,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano(es),,,36.043,136.625,1671,,Subduction zone / Continental crust (>25 km)
283835,Dainichiyama,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Composite,Stratovolcano,,,36.15,136.5,1369,,Subduction zone / Continental crust (>25 km)
283836,Tomuro,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Minor,Lava dome(s),,,36.528,136.75,548,,Subduction zone / Continental crust (>25 km)
283837,Kamitakara,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Unknown,Unknown,,,36.2,137.502,1831,,Subduction zone / Continental crust (>25 km)
283838,Hodakadake,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Caldera,Caldera,,,36.286,137.651,3190,,Subduction zone / Continental crust (>25 km)
283839,Momisawadake,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Unknown,Unknown,,,36.364,137.611,2755,,Subduction zone / Continental crust (>25 km)
283840,Kaminoroka,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Unknown,Unknown,,,36.471,137.599,2465,,Subduction zone / Continental crust (>25 km)
283841,Shirouma-Oike,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),,,36.786,137.802,2469,,Subduction zone / Continental crust (>25 km)
283842,Madarao,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano,,,36.834,138.278,1382,,Subduction zone / Continental crust (>25 km)
283843,Kurohime,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano,,,36.81,138.13,2053,,Subduction zone / Continental crust (>25 km)
283844,Iizuna,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano,,,36.736,138.137,1917,,Subduction zone / Continental crust (>25 km)
283845,Motodori,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Minor,Lava dome,,,36.717,138.247,745,,Subduction zone / Continental crust (>25 km)
