FIELD_Sample_ID,Other_ID,Source,DOI,TITLE,JOURNAL,AUTHOR,YEAR,District_Name,Deposit,Deposit_Type,Magma_Series,Deposit_Class,Contained_Cu,Company,Block_ID,Hole_ID,UTAS_Catalogue_ID,Project_Name,WGS84_Longitude,WGS84_Latitude,UTM_East,UTM_North,Elevation_m,DDH_Depth,Relationship to ore,Ore score,Epoch/Era,Ore Start,Ore Age err,Ore Age Source,Age (Ma),Age err,Age Source,Prestep calc,Distance_To_Deposit_Centre,UTM_Coord_System,Sampler,Country,Material,Survey_Method,Primary_Sample_Type,Sample_Type,Laboratory_Prep,Laboratory_Analytical,Sulfide_Present,Outcrop_Lith_Category,Rock_Type,Unit_name,Unit_Code,Alteration_Type,Vein_Types,Description,Int_or_volc,NoName,SiO2_pct,Al2O3_pct,Fe2O3_pct,FeO,FeO_pct,MgO_pct,CaO_pct,Na2O_pct,K2O_pct,TiO2_pct,P2O5_pct,MnO_pct,Cr2O3_pct,LOI_pct,H2O+,H2O-,H2O_pct,TOTAL C,TOTAL S,CO2_pct,Sum,Ag_ppm,Al_ppm,As_ppm,Au_ppm,B_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_ppm,Cd_ppm,Ce_ppm,Cl_ppm,Co_ppm,Cr_ppm,CO2_1,Cs_ppm,Cu_ppm,Dy_ppm,Er_ppm,Eu_ppm,F_ppm,Fe_ppm,Ga_ppm,Gd_ppm,Ge_ppm,Hf_ppm,Hg_ppb,Ho_ppm,In_ppm,K_ppm,La_ppm,Li_ppm,Lu_ppm,Mg_ppm,Mn_ppm,Mo_ppm,Na_ppm,Nb_ppm,Nd_ppm,Ni_ppm,P_ppm,Pb_ppm,Pd_ppb,Pr_ppm,Pt_ppb,Rb_ppm,Re_ppb,Sb_ppm,Sc_ppm,Se_ppm,Si_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Te_ppm,Th_ppm,Ti_ppm,Tl_ppm,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zn_ppm,Zr_ppm,ND143_ND144,ND143_ND144 i,eNd,PB206_PB204,PB207_PB204,PB208_PB204,SR87_SR86,SR87_SR86 i,AI,Eu/Eu*,Eu/Eu*/Yb(N),Sm(N)/Yb(N),La(N)/Yb(N),Sr/Y,Sr/Zr,(Sr/Y)/Zr,Sr/Yb,(Sr/Y)/Yb,V/Sc,Ba/Y,Fertility
98-629,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,4,Eocene,35.2,0.4,Campbell et al. 2043,63.2,0.5,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Montecristo Intrusion,,,,,,,65.68,15.16,4.47,,4.022106,1.91,3.72,3.42,4.06,0.72,0.13,0.08,,,,,,,0.02,,99.36,,,,,,584,,,,,76,,,,,11.5,,5.23,2.88,1.07,,,,5.47,,13.97,,1.03,,,35.5,,0.49,,,,,14.15,32,,,17,,8.45,,255,,,,,,6.46,,413,0.96,0.81,,22.57,,,,7.37,,,29.34,3.3,,338,,,,,,,,,45.537757,,,,,,,,,,,,0
98-633,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,4,Eocene,35.2,0.4,Campbell et al. 2044,63.2,0.5,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Montecristo Intrusion,,,,,,,57.43,16.32,7.55,,6.79349,3.46,5.48,3.34,3.33,1.14,0.28,0.17,,,,,,,0.01,,98.49,,,,,,465,,,,,55.7,,,,,6.06,,5.59,3.23,1.28,,,,5.81,,6.22,,1.13,,,26,,0.5,,,,,13.37,27.6,,,13,,6.76,,134,,,,,,5.82,,352,0.88,0.9,,12.24,,,,3.34,,,32.16,3.33,,276,,,,,,,,,43.497758,,,,,,,,,,,,0
98-637,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,4,Eocene,35.2,0.4,Campbell et al. 2045,63.2,0.5,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Montecristo Intrusion,,,,,,,59.83,16.05,7.07,,6.361586,2.6,4.99,3.34,3.56,1.12,0.3,0.14,,,,,,,0.02,,99,,,,,,500,,,,,67.4,,,,,7.31,,6.16,3.51,1.18,,,,6.35,,7.31,,1.26,,,31.1,,0.51,,,,,12.24,32.2,,,12,,8.09,,126,,,,,,6.91,,270,0.93,0.99,,15.25,,,,4.92,,,32.33,3.63,,276,,,,,,,,,42.512077,,,,,,,,,,,,0
98-478,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,35.2,0.4,Campbell et al. 2056,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,59.09,16.72,7.13,,6.415574,2.91,4.18,4.03,3.38,1.1,0.29,0.13,,,,,,,0.02,,99,,,,,,543,,,,,53.2,,,,,5.44,,5.43,3.1,1.38,,,,5.6,,5.61,,1.07,,,25.3,,0.45,,,,,10.8,26.7,,,14,,6.43,,85,,,,,,5.93,,354,0.79,0.82,,8.29,,,,2.55,,,29.29,3.16,,225,,,,,,,,,43.37931,,,,,,,,,,,,0
98-479,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,35.2,0.4,Campbell et al. 2057,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,58.17,16.33,7.8,,7.01844,2.87,4.57,3.59,3.02,1.17,0.29,0.21,,,,,,,0.01,,98.02,,,,,,535,,,,,53.2,,,,,4.02,,5.4,3.06,1.33,,,,5.6,,5.47,,1.1,,,24.8,,0.43,,,,,10.78,26.9,,,18,,6.45,,81,,,,,,5.92,,332,0.77,0.84,,8.1,,,,2.55,,,30.71,3.22,,228,,,,,,,,,41.921708,,,,,,,,,,,,0
98-480,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,35.2,0.4,Campbell et al. 2058,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,70.11,14.78,4.53,,4.076094,0.91,3.12,0.4,4.41,0.49,0.12,0.06,,,,,,,0.08,,99,,,,,,189,,,,,77.5,,,,,6.98,,6.61,3.68,1.38,,,,7.03,,10.02,,1.28,,,36.9,,0.61,,,,,15.74,38.3,,,4,,9.45,,239,,,,,,8.05,,30,1.07,1.09,,15.32,,,,4.91,,,33.61,4.09,,536,,,,,,,,,60.180995,,,,,,,,,,,,0
98-481,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,494557,7532400,,,,3,Eocene,35.2,0.4,Campbell et al. 2059,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,68.42,14.92,4.22,,3.797156,0.64,2.49,2.34,5.33,0.43,0.08,0.11,,,,,,,0.01,,99,,,,,,975,,,,,98,,,,,8.71,,8.39,5.2,1.5,,,,8.28,,10.88,,1.78,,,45.3,,0.83,,,,,16.52,46.3,,,11,,11.6,,165,,,,,,9.4,,112,1.21,1.25,,17.91,,,,5.82,,,47.48,5.44,,396,,,,,,,,,55.277778,,,,,,,,,,,,0
98-648,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,35.2,0.4,Campbell et al. 2060,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,58.47,15.72,6.54,,5.884692,3.98,5.8,3.73,2.47,0.93,0.32,0.11,,,,,,,0.02,,98.08,,,,,,773,,,,,79.2,,,,,1.16,,3.32,1.63,1.56,,,,4.54,,4.09,,0.59,,,41.4,,0.26,,,,,16.51,34.1,,,32,,9,,62,,,,,,5.96,,718,1.06,0.57,,13.95,,,,3.43,,,17.19,1.72,,169,,,,,,,,,40.362954,,,,,,,,,,,,0
98-646,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,35.2,0.4,Campbell et al. 2061,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,53.98,17.7,9.8,,8.81804,5.15,2.58,5.55,2.39,1.37,0.35,0.04,,,,,,,O.Q7,,99,,,,,,445,,,,,62.6,,,,,2.67,,4.07,2.19,1.71,,,,5.2,,3.81,,0.74,,,29.5,,0.31,,,,,12.41,33.4,,,3,,7.98,,82,,,,,,6.55,,403,0.74,0.68,,7.33,,,,1.63,,,19.34,2.07,,139,,,,,,,,,48.117422,,,,,,,,,,,,0
98-643,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,35.2,0.4,Campbell et al. 2062,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,60.65,16.65,5.56,,5.002888,3.86,2.34,6.18,2.46,0.84,0.33,0.07,,,,,,,0.06,,99,,,,,,906,,,,,100.9,,,,,2,,3.45,1.76,1.56,,,,4.8,,4.94,,0.61,,,51.9,,0.25,,,,,25.09,41.3,,,15,,10.97,,60,,,,,,7.05,,289,1.53,0.6,,19.77,,,,3.74,,,17.37,1.8,,219,,,,,,,,,42.587601,,,,,,,,,,,,0
98-650,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,El Abra,Cu-Mo,CA,,,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,3,Eocene,35.2,0.4,Campbell et al. 2063,60,0,Tsang et al ,,,,Ballard_ 2001,Chile,,,,,,,,,,Cerro Empexa formation volcanics,,,,,,,65.3,15.73,4.31,,3.878138,1.94,1.69,3.78,5.34,0.58,0.23,0.05,,,,,,,0.06,,99,,,,,,1241,,,,,77.9,,,,,1.35,,2.41,1.27,1.13,,,,3.33,,3.89,,0.43,,,44.2,,0.19,,,,,21.61,29.5,,,5,,8.24,,107,,,,,,4.55,,145,1.57,0.41,,17.95,,,,3.92,,,12.21,1.39,,144,,,,,,,,,57.098039,,,,,,,,,,,,0
00-81,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2074,34,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic minor faces porphyry,,,,,,,69.21,17.06,1.36,,1.223728,0.44,1.75,5.98,2.72,0.25,0.11,,,,,,,,0.12,,99,,,,,,1122,,,,,43,,,,,1.23,,1.36,0.71,0.88,,,,2.04,,3.26,,0.24,,,21.9,,0.12,,,,,8.53,17.4,,,9,,4.6,,75,,,,,,2.91,,808,0.69,,,4.63,,,,3.48,,,6.84,0.74,,124,,,,,,,,,29.017447,,,,,,,,,,,,1
00-82,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2075,34,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic minor faces porphyry,,,,,,,70.21,16.38,1.02,,0.917796,0.32,1.98,5.03,3.24,0.21,0.09,,,,,,,,0.07,,98.55,,,,,,733,,,,,26.1,,,,,0.83,,0.67,0.37,0.46,,,,0.99,,2.76,,0.12,,,14.2,,0.06,,,,,5.23,9.6,,,5,,2.63,,42,,,,,,1.47,,573,0.39,,,3.35,,,,1.1,,,3.59,0.42,,97,,,,,,,,,33.680227,,,,,,,,,,,,1
00-83,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2076,34,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic minor faces porphyry,,,,,,,71.19,16.02,0.84,,0.755832,0.29,2.03,5.03,3.23,0.21,0.08,0.01,,,,,,,0.07,,99,,,,,,724,,,,,31,,,,,0.69,,0.88,0.48,0.51,,,,1.23,,2.66,,0.17,,,16.3,,0.08,,,,,5.65,11.8,,,18,,3.28,,33,,,,,,1.85,,560,0.44,,,3.94,,,,1.03,,,4.81,0.52,,91,,,,,,,,,33.270321,,,,,,,,,,,,1
00-87,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2077,34,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic minor faces porphyry,,,,,,,72.45,15.06,0.88,,0.791824,0.39,1.23,4.36,3.85,0.2,0.03,,,,,,,,0.01,,98.45,,,,,,722,,,,,21,,,,,1.09,,0.63,0.3,0.45,,,,0.91,,2.17,,0.11,,,11,,0.06,,,,,4.23,8.5,,,3,,2.25,,37,,,,,,1.39,,459,0.32,,,2.62,,,,0.88,,,3.23,0.39,,84,,,,,,,,,43.133266,,,,,,,,,,,,1
00-80,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2078,34.6,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic major faces porphyry,,,,,,,70.51,16.57,4.28,,3.851144,0.21,0.33,0.31,5.98,0.24,0.09,0.19,,,,,,,0.28,,99,,,,,,954,,,,,33.2,,,,,1.91,,1.03,0.52,0.5,,,,1.33,,3.07,,0.18,,,17.6,,0.1,,,,,6.32,12.1,,,6,,3.42,,93,,,,,,1.83,,116,0.47,,,6.81,,,,1.32,,,5.3,0.69,,113,,,,,,,,,90.629575,,,,,,,,,,,,1
00-84,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2079,34.6,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic major faces porphyry,,,,,,,69.08,15.73,2.13,,1.916574,0.78,3.03,4.32,3.41,0.29,0.13,0.07,,,,,,,0.04,,99,,,,,,863,,,,,34.9,,,,,1.14,,1.06,0.57,0.61,,,,1.45,,2.73,,0.2,,,19.2,,0.09,,,,,6.15,13.2,,,27,,3.55,,74,,,,,,2.07,,645,0.49,,,4.14,,,,3.75,,,5.84,0.62,,102,,,,,,,,,36.308492,,,,,,,,,,,,1
00-85,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2080,34.6,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic major faces porphyry,,,,,,,71.52,15.91,0.69,,0.620862,0.36,1.51,4.12,4.37,0.26,0.05,,,,,,,,0.21,,99,,,,,,1374,,,,,37.1,,,,,0.77,,0.94,0.49,0.52,,,,1.42,,2.47,,0.17,,,19.9,,0.09,,,,,8.31,,,,3.71,,4.76,,60,,,,,,2.16,,13.3,0.69,,,6.52,,,,1.67,,,5.13,0.58,,85,,,,,,,,,45.656371,,,,,,,,,,,,1
00-86,,Thesis,n/a,A COMPARATIVE STUDY BETWEEN THE GEOCHEMISTRY OF ORE-BEARING AND BARREN CALC-ALKALINE INTRUSIONS,PhD Thesis,Ballard,2001,Chuqui-El Abra,Radomiro Tomic,Cu-Mo,CA,Giant,125.95984,Codelco,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,1,Eocene,35.2,0.4,Campbell et al. 2081,34.6,0.4,Ballard thesis,,,,Ballard_ 2001,Chile,,,,,,,,,,Radomiro Tomic major faces porphyry,,,,,,,72.34,15.87,0.54,,0.485892,0.46,1.52,4.38,3.49,0.23,0.05,,,,,,,,0.12,,99,,,,,,563,,,,,29,,,,,1.07,,0.71,0.38,0.46,,,,1.09,,3.24,,0.12,,,15.6,,0.08,,,,,6.15,10.4,,,3,,2.97,,58,,,,,,1.63,,454,0.51,,,5.72,,,,9.42,,,3.81,0.5,,111,,,,,,,,,40.101523,,,,,,,,,,,,1
ES-12781,,Thesis,n/a,GENESIS OF THE EL SALVADOR PORPHYRY COPPER DEPOSIT_ CHILE AND DISTRIBUTION OF EPITHERMAL ALTERATION AT LASSEN PEAK_ CALIFORNIA,PhD Thesis,Lee,2008,El Salvador,El Salvador,Cu-Mo,CA,Giant,17.148,Codelco,,,,,,,,,,,Post,2,Eocene,43.3,0.4,Lee_ 2008,43.3,0.4,Lee_ 2008,,,,Lee_ 2008,Chile,,,,,,,,,,R porphyry,R ppy,,,,INTRUSIVE,,58.22,16.8,,,7.26,0.77,3.57,4.52,2.04,1.051,0.331,0.161,,3.94,,,,,0.524398,,94.72,,,4,,,486,,1,,,43.69,,,11,,11.76,49,1.96,0.74,1.42,,,23,3.43,,3.8,,0.32,,,20.3,,0.08,,,,,7.54,24.15,24,,7.68,,5.76,,36.1,,,5.4,,,4.91,,653,0.46,0.42,,1.66,,,0.09,0.65,113,,8.27,0.49,815,145,,,,,,,,,25.779817,1.05785,0.367009,11.133787,29.716697,78.960097,4.503448,0.544552,1332.653061,161.143055,20.925926,,1
ES-12782,,Thesis,n/a,GENESIS OF THE EL SALVADOR PORPHYRY COPPER DEPOSIT_ CHILE AND DISTRIBUTION OF EPITHERMAL ALTERATION AT LASSEN PEAK_ CALIFORNIA,PhD Thesis,Lee,2008,El Salvador,El Salvador,Cu-Mo,CA,Giant,17.148,Codelco,,,,,,,444306,7097266,2624,,Post,2,Eocene,43.3,0.4,Lee_ 2008,43.3,0.4,Lee_ 2008,,,,Lee_ 2008,Chile,,,,,,,,,,R porphyry,R ppy,,,,INTRUSIVE,,63.43,16.37,,,3.98,1.39,0.42,2.55,7.22,0.55,0.198,0.141,,2.63,,,,,0.873997,,96.26,,,6,,,1671,,,,,30.53,,,5,,2.97,80,2.16,1.03,1.06,,,18,2.71,,2.93,,0.39,,,14.58,,0.14,,,,,6.42,15.51,6,,15.43,,3.86,,149,,,4.1,,,3.32,,227,0.58,0.39,,2.83,,,0.15,1.15,72,,10.22,0.88,234,111,,,,,,,,,74.352332,1.080378,0.208709,4.191919,11.88435,22.21135,2.045045,0.200102,257.954545,25.240171,17.560976,163.502935,1
ES-12783,,Thesis,n/a,GENESIS OF THE EL SALVADOR PORPHYRY COPPER DEPOSIT_ CHILE AND DISTRIBUTION OF EPITHERMAL ALTERATION AT LASSEN PEAK_ CALIFORNIA,PhD Thesis,Lee,2008,El Salvador,El Salvador,Cu-Mo,CA,Giant,17.148,Codelco,,,,,,,444568,7097125,2661,,Syn,1,Eocene,43.3,0.4,Lee_ 2008,42.8,0.5,Lee_ 2008,,,,Lee_ 2008,Chile,,,,,,,,,,A porphyry,A ppy,,,,INTRUSIVE,,57.26,18.77,,,6.36,2.42,1.6,5.37,1.82,0.985,0.326,0.029,,3.51,,,,,0.449484,,94.94,,,2,,,345,,,,,32.98,,,7,,9.08,3703,7.04,3.24,2.03,,,23,7.27,,3.57,,1.32,,,15.37,,0.33,,,,,6.48,18.42,9,,7.79,,4.33,,81.4,,,8.4,,,5.08,,498,0.42,1.22,,1.73,,,0.43,1.71,139,,31.99,2.35,233,139,,,,,,,,,37.823372,1.021223,0.073876,2.401891,4.691444,15.567365,3.582734,0.111995,211.914894,6.624411,16.547619,,1
ES-12785a,,Thesis,n/a,GENESIS OF THE EL SALVADOR PORPHYRY COPPER DEPOSIT_ CHILE AND DISTRIBUTION OF EPITHERMAL ALTERATION AT LASSEN PEAK_ CALIFORNIA,PhD Thesis,Lee,2008,El Salvador,El Salvador,Cu-Mo,CA,Giant,17.148,Codelco,,,,,,,444410,7096410,2440,,Syn,1,Eocene,43.3,0.4,Lee_ 2008,42.9,0.4,Lee_ 2008,,,,Lee_ 2008,Chile,,,,,,,,,,K porphyry,K ppy,,,,INTRUSIVE,,66.62,14.36,,,2.32,1.27,2.66,4.24,3.68,0.559,0.17,0.012,,2.58,,,,,2.522106,,95.89,,,1,,,588,,2,,,26.73,,,6,,2.85,722,1.3,0.54,0.84,,,18,1.99,,2.69,,0.22,,,12.67,,0.07,,,,,6.09,13.76,6,,5.15,,3.43,,73.3,,,3.6,,,2.76,,447,0.47,0.26,,2.64,,,0.07,0.54,72,,5.81,0.42,24,104,,,,,,,,,41.772152,1.095776,0.443528,7.301587,21.638537,76.936317,4.298077,0.739772,1064.285714,183.181706,20,101.204819,1
ES-12786,,Thesis,n/a,GENESIS OF THE EL SALVADOR PORPHYRY COPPER DEPOSIT_ CHILE AND DISTRIBUTION OF EPITHERMAL ALTERATION AT LASSEN PEAK_ CALIFORNIA,PhD Thesis,Lee,2008,El Salvador,El Salvador,Cu-Mo,CA,Giant,17.148,Codelco,,,,,,,,,,,Late intra,1,Eocene,43.3,0.4,Lee_ 2008,41.8,0.5,Lee_ 2008,,,,Lee_ 2008,Chile,,,,,,,,,,L porphyry,L ppy,,,,INTRUSIVE,,63.54,17.33,,,3.41,1.42,4.18,5.4,1.77,0.745,0.235,0.011,,0.89,,,,,1.073768,,98.04,,,,,,500,,2,,,38.68,,,7,,4.82,319,1.72,0.63,1.24,,,22,2.96,,3.7,,0.29,,,17.54,,0.07,,,,,7.12,20.72,6,,3.39,,5.06,,60.2,,,4.2,,,4.08,,724,0.51,0.36,,2.68,,,0.08,0.69,88,,7.26,0.49,15,146,,,,,,,,,24.980423,1.090861,0.378462,9.251701,25.676397,99.724518,4.958904,0.683045,1477.55102,203.519424,20.952381,68.870523,1
ES-12787,,Thesis,n/a,GENESIS OF THE EL SALVADOR PORPHYRY COPPER DEPOSIT_ CHILE AND DISTRIBUTION OF EPITHERMAL ALTERATION AT LASSEN PEAK_ CALIFORNIA,PhD Thesis,Lee,2008,El Salvador,El Salvador,Cu-Mo,CA,Giant,17.148,Codelco,,,,,,,444390,7096420,2440,,Late intra,1,Eocene,43.3,0.4,Lee_ 2008,41.8,0.5,Lee_ 2008,,,,Lee_ 2008,Chile,,,,,,,,,,L porphyry,L ppy,,,,INTRUSIVE,,65.83,16.37,,,2.95,1.29,3.81,4.89,2.39,0.658,0.202,0.03,,0.82,,,,,0.499427,,98.43,,,4,,,545,,1,,,40.9,,,8,,2.24,239,1.62,0.64,1.13,,,21,2.73,,3.23,,0.27,,,19.97,,0.08,,,,,7.01,19.98,7,,4.05,,5.06,,49.4,,,3.9,,,3.83,,616,0.54,0.34,,3.49,,,0.08,1.43,73,,7.01,0.5,29,121,,,,,,,,,29.725363,1.068369,0.363246,8.511111,28.648945,87.874465,5.090909,0.726235,1232,175.74893,18.717949,77.746077,1
ES-12789a,,Thesis,n/a,GENESIS OF THE EL SALVADOR PORPHYRY COPPER DEPOSIT_ CHILE AND DISTRIBUTION OF EPITHERMAL ALTERATION AT LASSEN PEAK_ CALIFORNIA,PhD Thesis,Lee,2008,El Salvador,El Salvador,Cu-Mo,CA,Giant,17.148,Codelco,,,,,,,443412,7094339,2850,,Pre,2,Eocene,43.3,0.4,Lee_ 2008,43.9,0.4,Lee_ 2008,,,,Lee_ 2008,Chile,,,,,,,,,,L porphyry (Granite Gulch),L ppy GG,,,,INTRUSIVE,,61.99,17.08,,,5.54,1.73,3.46,4.98,1.91,0.745,0.276,0.033,,1.13,,,,,0.249713,,97.75,,,,,,505,,1,,,37.95,,,7,,4.96,1242,2.29,1.02,1.09,,,21,3.24,,3.48,,0.42,,,19.15,,0.14,,,,,6.37,19.4,13,,9.8,,4.78,,64,,,6.4,,,4.02,,624,0.48,0.45,,3.19,,,0.14,1.01,103,,10.9,0.85,201,133,,,,,,,,,30.13245,0.923346,0.184669,5.254902,16.160338,57.247706,4.691729,0.430434,734.117647,67.350243,16.09375,46.330275,1
